x,y,y_exacta,error
0,1,1,0
0.628319,0.808734,0.809017,0.000283375
1.25664,0.308861,0.309017,0.000155485
1.88496,-0.308985,-0.309017,3.22763e-05
2.51327,-0.808809,-0.809017,0.00020771
3.14159,-0.999696,-1,0.000303806
3.76991,-0.808733,-0.809017,0.000283858
4.39823,-0.308861,-0.309017,0.000155486
5.02655,0.308985,0.309017,3.22764e-05
5.65487,0.80881,0.809017,0.00020771
6.28319,0.999696,1,0.000303806
6.9115,0.808733,0.809017,0.000283858
7.53982,0.308861,0.309016,0.000155486
8.16814,-0.308985,-0.309018,3.22765e-05
8.79646,-0.80881,-0.809017,0.00020771
9.42478,-0.999696,-1,0.000303806
10.0531,-0.808733,-0.809016,0.000283858
10.6814,-0.308861,-0.309016,0.000155486
11.3097,0.308986,0.309018,3.22766e-05
11.9381,0.80881,0.809018,0.00020771
12.5664,0.999696,1,0.000303806
